"Order can not be canceled for system reason.","Order can not be canceled for system reason."
"Order can not be saved for system reason.","Order can not be saved for system reason."
"Order can not be saved.","Order can not be saved."
"Order canceled on Ingenico ePayments (Ogone) side. Status: %s, Payment ID: %s.","Order canceled on Ingenico ePayments (Ogone) side. Status: %s, Payment ID: %s."
"Order declined on ops side. Ingenico ePayments (Ogone) status: %s, Payment ID: %s.","Order declined on ops side. Ingenico ePayments (Ogone) status: %s, Payment ID: %s."
"Order has been canceled permanently in Magento. Changes in Ingenico ePayments (Ogone) platform will no longer be considered.","Order has been canceled permanently in Magento. Changes in Ingenico ePayments (Ogone) platform will no longer be considered."
"order id", "Order ID"
"Order is not valid","Order is not valid"
"Order Number","Order Number"
"Order reference in case of inline payments", "Order reference in case of inline payments"
"Order reference in case of redirect payments", "Order reference in case of redirect payments"
"Other","Other"
"OWNERADDRESS","Invoiced customer's address"
"paiement_en_plusiers_fois_description", "Paiement en plusiers fois description"
"Partial capture process complete","Partial capture process complete"
"Password which has been set in the Ingenico ePayments (Ogone) backend for above API user.","Special user for API must be created in the Ingenico ePayments (Ogone) backend in section <em>Users</em>."
"Pay now","Pay now"
"Payment Action","Payment Action"
"Payment failed because the authorization was declined! Please choose another payment method.", "Payment failed because the authorization was declined! Please choose another payment method."
"Payment failed. Please review your input or select another payment method.","Payment failed. Please review your input or select another payment method."
"Payment failed. Please select another payment method.","Payment failed. Please select another payment method."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment has been authorized by Ingenico ePayments (Ogone), but not yet captured.", "Payment has been authorized by Ingenico ePayments (Ogone), but not yet captured."
"Payment information could not be sent.", "Payment information could not be sent."
"Payment information has been resend to customer.", "Payment information has been resend to customer."
"Payment Information","Payment Information"
"Payment Logo Visibility","Payment Logo Visibility"
"Payment Logo","Payment Logo"
"Payment Method", "Payment Method"
"Payment method", "Payment method"
"Payment Reference: %s", "Payment Reference: %s"
"Payment Template","Payment Template"
"Payment using 3D secure is not supported.", "Payment using 3D secure is not supported."
"pending", "pending"
"Pick up at merchant","Pick up at merchant"
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Please insert the additional data:","Please insert the additional data:"
"Please make sure that the displayed data is correct.", "Please make sure that the displayed data is correct."
